key;en;fr;it;ja;ko;es;pt_BR;pl;de;ru;uk;
SITE_FAQ_TITLE;FAQ;Foire aux questions;Domande frequenti;FAQ;FAQ;Preguntas frecuentes;Perguntas Frequentes;Często zadawane pytania;FAQ;FAQ (Часто задаваемые вопросы);FAQ (Популярні питання);
SITE_FAQ_Q1;"  ""Is MOTHER: Encore an officially licensed Nintendo game?""";Est-ce que MOTHER: Encore est un jeu sous licence officielle Nintendo ?;" ""MOTHER: Encore è un gioco autorizzato ufficialmente da Nintendo?""";MOTHER：Encoreは任天堂の公式ゲームですか？;MOTHER: Encore는 닌텐도의 정식 라이선스를 받은 게임인가요?;¿Es MOTHER: Encore un juego con licencia oficial de Nintendo?;MOTHER: Encore é um jogo licenciado oficialmente pela Nintendo?;Czy MOTHER: Encore jest oficjalnie licencjonowaną grą Nintendo?;Ist MOTHER: Encore ein offiziell lizenziertes Nintendo-Spiel?;MOTHER: Encore лицензирована компанией Nintendo?;Чи MOTHER: Encore офіційно ліцензована гра Nintendo?;;
SITE_FAQ_A1;Nope! MOTHER: Encore is a fan made project, and is in no way affiliated, associated, authorized, endorsed by, or in any way officially connected with Nintendo, Shigesato Itoi, HAL Laboratory, Inc., or any of its subsidiaries or its affiliates! This is a fan game made by the fans, for the fans! It will always remain free because of that.;Pas du tout ! MOTHER: Encore est un projet réalisé par des fans. Il n’est nullement associé, soutenu, autorisé ou relié d’une quelconque façon à Nintendo, Shigesato Itoi, HAL Laboratory, Inc., ainsi que leurs filiales et partenaires ! Il s’agit d’un fan game, fait par les fans, pour les fans ! Et pour cette raison, il restera toujours gratuit.;No! MOTHER: Encore è un progetto amatoriale e non è in alcun modo affiliato, associato, autorizzato, approvato né ufficialmente collegato a Nintendo, Shigesato Itoi, HAL Laboratory, Inc. e a nessuna loro società sussidiaria o associata! È un gioco realizzato dai fan per i fan! Per questo motivo, sarà sempre gratuito.;いいえ！MOTHER：ENCOREはファンの二次創作ゲームであり、任天堂、糸井重里、HAL研究所、またはその子会社や関連会社とは一切関係ありません！これはファンによるファンのためのファンゲームです！そのため、常に無料になります。;아니요! MOTHER: Encore는 팬들의 2차 창작 게임이며 닌텐도, 이토이 시게사토, HAL 연구소 또는 그 자회사나 계열사와는 그 어떤 관계가 없습니다. 이 작품은 오직 팬들을 위해 만든 팬 게임입니다! 그렇기에 상시 무료 배포입니다.;¡No! MOTHER: Encore es un proyecto hecho por fans, y no está de ninguna manera afiliado, asociado, autorizado, respaldado o de alguna manera relacionado oficialmente con Nintendo, Shigesato Itoi, HAL Laboratory, Inc. o cualquiera de sus subsidiarias o filiales. Este es un juego hecho por y para fans, y por eso siempre será gratuito.;Não! MOTHER: Encore é um projeto feito por fãs, e não é de nenhuma forma afiliado, associado, autorizado, patrocinado ou conectado oficialmente à Nintendo, Shigesato Itoi, HAL Laboratory, Inc. ou a alguma das suas subsidiárias ou afiliadas. Este é um jogo feito de fãs para fãs! E sempre será gratuito por causa disso.;Nie! MOTHER: Encore to projekt tworzony przez fanów i nie jest w żaden sposób powiązany, zrzeszony, autoryzowany, wspierany ani w żaden sposób oficjalnie powiązany z Nintendo, Shigesato Itoi, HAL Laboratory, Inc. ani żadną z ich spółek zależnych lub stowarzyszonych! Jest to gra tworzona przez fanów dla fanów! Z tego powodu zawsze pozostanie darmowa.;Nix da! MOTHER: Encore ist ein von Fans gemachtes Projekt und ist in keiner Weise mit Nintendo, Shigesato Itoi, HAL Laboratory, Inc. oder einer ihrer Tochtergesellschaften sowie dazugehörigen Unternehmen verbunden, assoziiert, autorisiert, gebilligt oder in irgendeiner Weise offiziell mit ihnen zusammen! Dies ist ein Fan-Game, das von Fans für Fans gemacht wurde! Aus diesem Grund wird es auch immer kostenlos sein.;Никак нет! MOTHER: Encore — это фанатский проект, который не лицензирован, не ассоциирован, не авторизован и не одобрен Nintendo, Сигэсато Итои, HAL Laboratory, Inc. или какими-либо другими дочерними компаниями и аффилированными лицами и никаким образом с ними не связан. Это фан-игра, созданная фанатами для фанатов! И по этой причине она всегда будет бесплатной.;Зовсім ні! MOTHER: Encore — фанатський проєкт, і зовсім не пов'язаний, авторизований, схвалений, чи будь-яким чином підтриманий Nintendo, Сигесато Ітоєм, HAL Laboratory, Inc. або кимсь з їх дочірніх компаній чи афійілованих осіб! Це гра створена фанатами, для фанатів! Через це вона завжди буде безкоштовною.;
SITE_FAQ_Q2;Is this intended to replace Mother 1?;Est-ce que MOTHER: Encore a pour vocation de remplacer MOTHER 1 ?;MOTHER: Encore intende rimpiazzare MOTHER “1”?;これはMOTHER 1の代わりとなるものですか？;이 작품은 MOTHER 1을 대체하기 위한 작품인가요?;¿Está destinado a reemplazar a Mother 1?;Este jogo substitui MOTHER 1?;Czy ma to zastąpić Mother 1?;Soll dies Mother 1 ersetzen?;Должна ли она заменить Mother 1?;Чи повинна вона замінити Mother 1?;zh_CN
SITE_FAQ_A2_1;No, since it’s a reimagining, there’s different game design philosophies at play. It’s extremely difficult, perhaps impossible to reimagine something and keep everything great about the original intact, especially when you aren’t the original creator.;Non. Puisque c’est une réinterprétation, le jeu a sa propre philosophie. C’est extrêmement difficile, voire impossible, de recréer une œuvre tout en gardant intactes toutes ses qualités d’origine, surtout quand on n’en est pas le créateur.;No. Dal momento che si tratta di una rivisitazione, è approcciato con una diversa filosofia di game design. È estremamente difficile, forse addirittura impossibile, reimmaginare qualcosa e lasciare intatti tutti i pregi del prodotto originale, soprattutto quando non sei il creatore originale.;いいえ、完全なリメイクなので、根本的なゲームデザインが異なります。特に原作者でない場合、何かをリメイクしながら、オリジナルの素晴らしさをそのまま残すのは不可能に近いです。;아닙니다, 완전한 리메이크이기 때문에 근본적인 게임 디자인이 다릅니다. 특히 원작자가 직접 만든 것이 아니라면 리메이크에서 원작의 훌륭함을 그대로 유지하는 것은 불가능에 가깝습니다.;No, al ser una reimaginación, hay diferentes filosofías de diseño en juego. Es extremadamente difícil, puede que imposible, reimaginar algo y mantener intacto todo lo bueno del original, sobre todo cuando no eres el creador original.;Não, já que este jogo é uma reimaginação, as filosofias de game design usadas são diferentes. É extremamente difícil, talvez até impossível, reimaginar algo e manter intacto o que fazia o original ser tão bom, principalmente se você não é o criador original.;Nie, ponieważ jest to nowe wyobrażenie, w grę wchodzą różne filozofie projektowania gier. Stworzenie czegoś na nowo i zachowanie wszystkiego, co najlepsze w oryginale, jest niezwykle trudne, a być może nawet niemożliwe, zwłaszcza gdy nie jest się twórcą oryginału.;Nein, da es sich um eine Neuinterpretation handelt, sind andere Design-Philosophien im Spiel. Es ist extrem schwierig, wenn nicht sogar unmöglich, etwas neu zu erfinden und alles, was an dem Original gut war, beizubehalten – vor allem, wenn man nicht der Schöpfer des Originals ist.;Нет: так как это переосмысление, здесь используется иная философия геймдизайна. Чрезвычайно сложно, если не невозможно интерпретировать что-то, сохранив при этом всё лучшее из оригинала в неизменном виде, если вы не являетесь напрямую его создателем.;Ні, так як це переосмислення, гра створюється з іншими поглядами. Дуже складно, якщо не неможливо по-новому уявити щось і залишити усе найкраще з оригіналу, особливо коли ти не автор оригіналу.;
SITE_FAQ_A2_3;We hope that you accept Encore as being something that compliments the original, not a replacement. Encore’s too different to be considered the “MOTHER: definitive edition.”;Nous espérons que vous accepterez de voir MOTHER: Encore comme un complément au jeu original, plutôt que comme un remplacement. Il est trop différent pour être considéré comme un « MOTHER: Definitive Edition ».;Speriamo che accoglierete MOTHER: Encore come un prodotto che complementa l’originale, non un rimpiazzo. Encore differisce troppo, non può essere considerato un’“edizione definitiva” di MOTHER.;MOTHER：ENCOREは原作と独立したものであり、代替物ではないことをご理解いただければと思います。こちらは「MOTHER：決定版」ではありません。;이 작품은 'MOTHER: 완전판'과는 거리가 멀기 때문에 대체물이 아님을 이해해 주시길 바랍니다.;Esperamos que Encore sea aceptado como un complemento del original, no un sustituto. Encore es demasiado diferente para ser considerado como “MOTHER: Definitive Edition”.;Esperamos que você aceite Encore como um complemento do original, não uma substituição. Encore é diferente demais para ser considerado um “MOTHER: Versão Definitiva”.;Mamy nadzieję, że zaakceptujesz Encore jako coś, co uzupełnia oryginał, a nie go zastępuje. Encore jest zbyt odmienne, by można go było uznać za „MOTHER: Definitive Edition”.;"Wir hoffen, dass Encore als Ergänzung zum Original gesehen wird, nicht als Ersatz. Encore ist zu unterschiedlich, um als ""MOTHER: Definitive Edition"" bezeichnet zu werden.";Мы надеемся, что вы воспримете MOTHER: Encore как дань уважения оригиналу, а не как замену ему. Наш проект сильно отличается от оригинала и не может считаться чем-то вроде «MOTHER: Улучшенное издание».;"Ми сподіваємося, що ви сприймете MOTHER: Encore як данину поваги оригіналу, а не як його заміну. Наш проект сильно відрізняється від оригіналу і не може вважатися ""MOTHER: Definitive Edition"".";
SITE_FAQ_Q3;Will the game be as difficult as the original?;Est-ce que le jeu sera aussi difficile que l’original ?;Questo gioco sarà difficile come l’originale?;難易度は原作と同じですか？;게임이 원작만큼 어려울까요?;¿El juego será tan difícil como el original?;O jogo será difícil que nem o original?;Czy gra będzie równie trudna jak oryginał?;Wird das Spiel so schwierig sein wie das Original?;Будет ли игра такой же сложной, как и оригинал?;Чи буде гра настільки ж важкою, як і оригінал?;
SITE_FAQ_A3;Nope, we’re rebalancing the game from the ground up.;Non, il sera intégralement rééquilibré.;No, stiamo ribilanciando il gioco dalle basi.;いいえ、ゲームバランスを一から見直しています。;아뇨, 난이도에 대해서는 재검토하고 있습니다.;No, vamos a rebalancear el juego desde cero.;Não, estamos reequilibrando o jogo do zero.;Nie, rebalansujemy grę od podstaw.;Nein, wir haben das Spiel von Grund auf neu ausbalanciert.;Нет, мы сделаем игру сбалансированной.;Ні, ми зробимо гру збалансованою.;
SITE_FAQ_Q4;What platforms will MOTHER: Encore be on?;Sur quelles plates-formes MOTHER: Encore sera-t-il disponible ?;Su che piattaforme sarà giocabile MOTHER: Encore?;MOTHER：Encoreの対応プラットフォームは何ですか？;MOTHER: Encore는 어떤 플랫폼을 지원하나요?;¿En qué plataformas estará disponible MOTHER: Encore?;Para quais plataformas MOTHER: Encore estará disponível?;Na jakie platformy trafi MOTHER: Encore?;Auf welchen Plattformen wird MOTHER: Encore erscheinen?;На каких платформах будет MOTHER: Encore?;На яких платформах буде MOTHER: Encore?;
SITE_FAQ_A4_1;It will only be officially available on Windows, Mac and Linux.;Le jeu sera disponible officiellement sous Windows, macOS et Linux.;Ufficialmente sarà disponibile solo su Windows, Mac e Linux.;正式にはWindows、Mac、Linuxのみです。;공식적으로 오직 Windows, Mac, Linux만 지원하고 있습니다.;Solo estará disponible oficialmente en Windows, Mac y Linux.;Estará disponível oficialmente para Windows, Mac e Linux.;Gra będzie oficjalnie dostępna tylko na Windowsa, Maca i Linuxa.;Es wird offiziell nur für Windows, Mac und Linux verfügbar sein.;Она будет официально доступна только на Windows, Mac и Linux.;Офіційно лише на Windows, Mac і Linux;
